seed,hopper-medium-replay_ST4,hopper-medium-replay_ST2,hopper-medium-replay_ST1,walker2d-medium-replay_ST4,walker2d-medium-replay_ST2,walker2d-medium-replay_ST1
0,0.11433082800827885,0.11021941710271708,0.10409882657506137,0.09096774652480555,0.07091548274640155,0.07739089871575645
1,0.11054040629658275,0.10645611620576988,0.09644513685839243,0.08687697577781255,0.06838617619073208,0.06930259685836414
2,0.11048364764890252,0.10504767936867171,0.10143226962013173,0.09717093393258741,0.07338147340481313,0.07688990726659739
3,0.10812352394330829,0.1202588467170959,0.11745281904398194,0.08718145872931801,0.07582952710100276,0.06657256218898859
4,0.10734480598636821,0.11001328667554333,0.10371427036318193,0.07928627794965994,0.07219872252177029,0.07735490039120048
5,0.10713367166565638,0.10330796648098543,0.10622319672611895,0.07476434642040246,0.07762725894726048,0.08646831603538795
6,0.11268920335405483,0.10717328644741331,0.10038416927871695,0.08234597160504464,0.06966310555562166,0.10726410319632364
7,0.1051740485815764,0.11951533347809531,0.11292135274126842,0.0948529146158161,0.0770041153360644,0.00870297785348474
8,0.11182114542646014,0.12578049731862653,0.09389515183205523,0.0768360784261701,0.08539659600911063,0.05456004438923873
9,0.10759484138541187,0.106612622974279,0.12683727681509815,0.08851910077841006,0.066510769862455,0.07497755311870312
10,0.11138930005801766,0.10802559900832855,0.10513000548606671,0.0816154825415961,0.07934139813461391,0.06927909255615453
11,0.10774232621721451,0.12545295110229748,0.09910728351119064,0.08491496147804597,0.06119932380050775,0.02605757363833189
12,0.10961243907178143,0.1136479139026633,0.09953767247724798,0.08661164861757364,0.07752122311025095,0.08199393985083415
13,0.10887021989574924,0.10890880529016272,0.10626610865684603,0.0936351941754937,0.06213303571982884,0.07958342253854744
14,0.10719045720528929,0.11429941514124793,0.1082815145767047,0.08704192390897789,0.0790168215837717,0.04763904360691502
15,0.10899664086272493,0.11049170957136764,0.09755241501698961,0.08711330013736503,0.06967728704147153,0.07914490024450714
16,0.1106441737791752,0.11396290193996524,0.10435134077485507,0.03797678204432107,0.07752665902775323,0.06626220899867541
17,0.10412040831402868,0.10492061466541344,0.11290826906630155,0.08110221367077956,0.07418223618346222,0.00816779643265142
18,0.11030537428324141,0.10515291678524358,0.1126475817995634,0.08609377179691168,0.0795356016132057,0.06118906719001327
19,0.10848674367941953,0.1069489095740025,0.10948216153738188,0.08211022875459413,0.07076030962412246,0.0924446258744124
20,0.10932056637074332,0.1133589191149327,0.11618248041579202,0.07645607588876842,0.07194358512782284,0.06305619004648892
21,0.1052984883577104,0.11227856599832454,0.10848234117259105,0.10336086398186084,0.06421059419871357,0.07028000147047837
22,0.10866516816836909,0.11808533499444868,0.09606178127518626,0.10464938956925728,0.07312567832204278,0.07764862250871818
23,0.10733408621004163,0.1152978721472083,0.11538690275803347,0.0911803274064711,0.0657774452118338,0.06482594052789452
24,0.10911044592902165,0.13985749171003814,0.12255709081338512,0.10974484465065736,0.07384487480849013,0.0820314943867713
25,0.10690996331705054,0.11210261651376928,0.09384571488227508,0.09008013158483845,0.07223874879019314,0.07652367061087632
26,0.11100965338728634,0.12451354504794279,0.10632107632775803,0.08404228087103989,0.07571643154528523,0.09948101245136105
27,0.10732234496562149,0.10636586690230344,0.09551727397214838,0.0882093592817954,0.06995314464641704,0.07485870787548216
28,0.107198097121174,0.11348424901122957,0.1114213965436395,0.08285368171917093,0.07534223355761055,0.08102870488738746
29,0.10928996550316616,0.10773189221155278,0.10470217605093941,0.08792896175146085,0.019232951829098746,0.11287642531610799
30,0.11195452365087247,0.1280587727932011,0.1031881335881648,0.08882140431465561,0.07684863481358009,0.061036475301524
31,0.1097337642015218,0.11720200897885305,0.10333669789687445,0.09219430115243,0.06936367145030216,0.07920527382674508
32,0.10776787596489519,0.11270235526423265,0.10295284587403451,0.08646277976542106,0.07280306536022974,0.07415965420382467
33,0.10746989458869678,0.11831454113960156,0.0742949649825175,0.08541191084105397,0.07607998969601178,0.04095373377668716
34,0.11033150366340123,0.11031152142388043,0.11637540221378671,0.07946788309363788,0.07723269742523871,0.00337046284393974
35,0.10758567248648539,0.12190818618123313,0.1039652497537209,0.08615371387015723,0.07350745063609461,0.07201045628810873
36,0.11087856359755065,0.10725755107459929,0.11028033992966553,0.09068858496216604,0.06913226193525573,0.05787592149653184
37,0.11052332226696998,0.10876927709728534,0.10035614955356242,0.03040132284562025,0.07605821576474761,0.05469754072570437
38,0.10967067968092441,0.11245772845327437,0.10334917463655983,0.08655310515290218,0.06327895002315113,0.07159924715470846
39,0.10993088200579502,0.11787134239834891,0.09502062683164521,0.09029883361486503,0.06797949409009148,0.07224674583090172
40,0.10611471125775213,0.118832290831864,0.11164172443567964,0.08718996676312928,0.07769920642863017,0.10946238689453015
41,0.11023721411715033,0.11836195125033232,0.09765493998802709,0.053554333077719944,0.08069732332530671,0.05589663015291309
42,0.10766215400475336,0.12177780186232089,0.10599355533897936,0.08358920816680261,0.06553207150867234,0.08951053250946205
43,0.11109066888222541,0.10998204949052223,0.10437178946306735,0.0807774816861063,0.0701313057567303,0.11197819046068562
44,0.10550812995891737,0.110857434318418,0.10143675067900346,0.08435598377188978,0.06256531075496106,0.012066363219502189
45,0.1078458552889131,0.10590622677514608,0.1127451102689031,0.07609059125634536,0.07381545626695367,0.1027445476186863
46,0.10932875340539323,0.10586838205048837,0.12012171539270307,0.08823956261011599,0.0606631490626823,0.1345985370909287
47,0.11094881247489818,0.11460772093470487,0.10364468429147392,0.08248389464160098,0.07400081742070562,0.038461137842749814
48,0.10904225887664239,0.11502176422642285,0.11325943934381687,0.09276632109087449,0.08071702619314039,0.05678747472825082
49,0.11167491611523563,0.10250167124565167,0.09146468276506495,0.08323159189082133,0.06734433005275482,0.06658693010391604
50,0.10663494526867619,0.11254427777187072,0.0979423726993578,0.08969866663054772,0.07361183076479881,0.13301704735191847
51,0.1103343536946504,0.10176347094707366,0.09512122359251364,0.08361417580329761,0.07007601335636664,0.06618601595758807
52,0.10871534829329003,0.10580947003307095,0.0976045758706198,0.0810210616464998,0.06169210149438192,0.08371019629041852
53,0.10885046158418078,0.10499213953911278,0.11482475476975616,0.09442959693871836,0.06832721318182117,0.07685366789605964
54,0.11194800234684124,0.10963084770103475,0.10452061582997615,0.09131395077507429,0.07209740334601253,0.08328668689331474
55,0.10557333359771494,0.11209770624679644,0.10715992761880815,0.09306409813637506,0.07425528016392302,0.06695826916418277
56,0.10776879347375318,0.1091646652772379,0.11546790132655645,0.0774002405124389,0.0639434671575352,0.08234362151210217
57,0.10990189194771073,0.1088644060198496,0.11246684156437027,0.09279783754935209,0.06689428361177611,0.10486657415988267
58,0.11168889815972315,0.12478107480072789,0.10792521603602485,0.09694933408924095,0.0770052101184192,0.1051061114578897
59,0.10952819237329803,0.11067145957961133,0.12109251969136757,0.08739483047226164,0.07559244118339246,0.05959958221278709
60,0.11069535184860424,0.11138045172144347,0.11803193895510292,0.09450800955744941,0.07174381600158795,0.09448249305175843
61,0.1080056407059906,0.11271536002047469,0.10510715017118674,0.09170622133701713,0.08700241601579792,0.08557818163143578
62,0.10702566314591246,0.11457525330336456,0.09615775512373897,0.09081369605628199,0.07223929271622767,0.1005979987916928
63,0.109913514004182,0.11141069553459462,0.10931868118258901,0.08828749161407655,0.07234495612414381,0.05838927374755394
64,0.10501838077547439,0.10951504071413855,0.10820821244460055,0.08922397754543288,0.07857199508378682,0.08091812921399318
65,0.10786424966311228,0.10504454648949546,0.11167670412088096,0.08418586742016619,0.06757422260008128,0.06646288962178472
66,0.10870703919974874,0.10944959955609053,0.10746928160170964,0.09510932979791367,0.05557250701048223,0.07559344793889469
67,0.10713497090628192,0.11023588465816675,0.10842671727071493,0.09150716519404226,0.0895571529532994,0.01736476520053812
68,0.10879159761242431,0.11111862179500678,0.10342313860959047,0.08142741583054586,0.0767913802096521,0.12284254424206512
69,0.10829005463220791,0.10741100224742747,0.10770181929522485,0.08573381914181208,0.07496181451703966,0.057977995929834464
70,0.10903866776035073,0.11633931542917769,0.10315803257652383,0.07744993770825623,0.07381138765203024,0.056327667872858804
