seed,hopper-medium-replay_ST4,hopper-medium-replay_ST2,hopper-medium-replay_ST1,walker2d-medium-replay_ST4,walker2d-medium-replay_ST2,walker2d-medium-replay_ST1
0,0.11556276385877091,0.016804261957747767,0.0901740978629792,0.06171341998912441,0.06627744857530864,0.05613535782629747
1,0.10382580304843997,0.0916958343911299,0.08794090367270217,0.05776246885889945,0.0607300358431377,0.06183323088274031
2,0.07607545173287426,0.12008164240549735,0.009838573583900027,0.07532783382774365,0.04452114673735931,0.030659411514493203
3,0.09224761981423892,0.08194240956232707,0.011331259358151439,0.07481502939153009,0.08721636522136975,0.03484621714958839
4,0.11677504112409916,0.024864868546293373,0.08148035968136323,0.058323482446056646,0.05873254554949833,0.027469320684793054
5,0.10660831229758416,0.06244945664773542,0.0683249350835398,0.0570869089233943,0.013637764276644565,0.00524017722856129
6,0.09668358635071224,0.09009908309519299,0.010864187450237307,0.02034725976297677,-0.0010198929573170445,0.008585056604772368
7,0.09610830049319838,0.0658565399391123,0.009906123081359556,0.09972390677415532,0.08415539930937539,0.08230095087947113
8,0.09610198646484654,0.06097007051080945,0.008588235147611652,0.011170616556562159,0.01028425637449214,0.052498222371745645
9,0.10738417024638686,0.06547803304210667,0.022666337515642492,0.07828693776609005,0.004457982209787616,0.001503152178064541
10,0.10104579734944397,0.09149684868368096,0.026883499926870173,0.07143384678519456,0.07950395066375007,0.011062719926962101
11,0.0986852936126704,0.08830726936557687,0.012131504639692653,0.07493722309041724,0.04958018942120732,0.05298422711410145
12,0.1017169822586305,0.10027659507156161,0.04805517939684604,0.07693955548635488,0.06340355117846813,0.027393058667011645
13,0.11986673493079703,0.08065454011068013,0.06750495457821083,0.055843998175082545,0.022671236274969225,0.04079630106106883
14,0.12477973929150672,0.03949778137684633,0.0671761740840732,0.12896097537208692,0.018395541324170078,0.0020042437366120463
15,0.1062264999911499,0.0802843233694128,0.07500793325763253,0.0766687864194823,0.009773862055555754,0.0843471772825011
16,0.1308191854620061,0.1099769197156324,0.08050234777467612,0.06858582027167409,0.07464819359218516,0.002101390026715979
17,0.09845905566753282,0.07629981780483863,0.08040253980422825,0.057576500751566353,0.07219908668829973,0.015443275298939052
18,0.1669801546825574,0.09701447639618829,0.07588572491098512,0.06860482727130579,0.06430951460265857,0.008666351642664466
19,0.09327689052199956,0.06990929734028599,0.028596712838996646,0.0564872378132571,0.0456810618833811,0.07305910806100223
20,0.10464905285659357,0.048263988041962455,0.025666199305116964,0.06602681213007493,0.011972848249892346,0.010137299961645583
21,0.09334511817908633,0.07995802190512208,0.03021179920791396,0.07266371446963776,0.05414991691132766,0.0567854251233871
22,0.09395790018556435,0.05466153129462521,0.07207392375198765,0.07655143796185356,0.027210872550718312,0.06304295805146723
23,0.12021937692950987,0.03334459472582185,0.022071585852089712,0.07158424790386263,0.10756428603704077,0.05046090340875442
24,0.12581753014533723,0.08147813307489607,0.029900716128789247,0.06527043288529706,0.08295285776303031,-0.00045430951163487885
25,0.1313213504278272,0.06889060542787473,0.058089984605006195,0.07079540592650406,0.02890422767867773,-0.0005682922057744269
26,0.09702176745933527,0.1087585172981433,0.04335151505205353,0.06964247591298614,0.0018636382526718248,0.0058046577370032834
27,0.12219001954389948,0.06309116334082897,0.1122981287127649,0.07043547076686389,0.007686579186982321,0.014488398948168555
28,0.09352932627701133,0.06992587149406848,0.0536251318191765,0.07994560144628263,0.06241240839023106,0.05315369500441802
29,0.040192060115472376,0.10704619013030166,0.033945360816838605,0.05142714973750851,0.07596343278751222,0.07570621169582865
30,0.10392960520756311,0.06557512922989721,0.08612346319609758,0.07184533791992326,0.0007297153034540981,0.001303188333166648
31,0.09825022456388864,0.05067610059519188,0.009749387980352095,0.05556979089022048,0.054262190449174505,0.06374593414036665
32,0.09500321425594105,0.0750434027366841,0.08499941394783245,0.04562268120297938,0.0038468614692436544,0.053946702872547166
33,0.09602734363394626,0.015445863652496554,0.0887278764216399,0.05826569618622051,0.11488369735823621,0.03826141812155186
34,0.06148376267363319,0.0712806222388907,0.05718894697515784,0.02274139567843338,0.06829124015216202,0.0028482837158646567
35,0.14890322215078905,0.026300907619665713,0.0736070815354899,0.05502928098651637,0.030675939620264592,0.01596986590959039
36,0.09106245642231371,0.027155378614715724,0.020454095354817518,0.003824971740381658,0.0013335170634842526,-0.00021965036789879766
37,0.10303011765949749,0.014727188155750606,0.059578451847214775,0.05332005249518481,-0.0019464318472287182,-0.0035731693802035923
38,0.13621066684293523,0.08035538553117304,0.07266605517736117,0.06518077918322296,0.07405595805190654,0.061551948785195966
