seed,pen-cloned_ST1_mean,pen-cloned_ST1_std_error,pen-cloned_ST1_count_999,pen-cloned_ST2_mean,pen-cloned_ST2_std_error,pen-cloned_ST2_count_999,pen-cloned_ST4_mean,pen-cloned_ST4_std_error,pen-cloned_ST4_count_999,pen-cloned_ST8_mean,pen-cloned_ST8_std_error,pen-cloned_ST8_count_999,pen-cloned_ST16_mean,pen-cloned_ST16_std_error,pen-cloned_ST16_count_999,kitchen-partial_ST1_mean,kitchen-partial_ST1_std_error,kitchen-partial_ST1_count_999,kitchen-partial_ST2_mean,kitchen-partial_ST2_std_error,kitchen-partial_ST2_count_999,kitchen-partial_ST4_mean,kitchen-partial_ST4_std_error,kitchen-partial_ST4_count_999,kitchen-partial_ST8_mean,kitchen-partial_ST8_std_error,kitchen-partial_ST8_count_999,kitchen-partial_ST16_mean,kitchen-partial_ST16_std_error,kitchen-partial_ST16_count_999
37,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
38,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
39,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
40,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
41,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
42,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
43,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
44,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
45,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
46,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
47,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
48,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
49,999,0,1,999,0,1,999,0,1,999,0,1,252,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
50,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,228,0,0
51,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
52,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
53,999,0,1,999,0,1,289,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
54,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
55,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
56,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
57,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
58,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
59,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
60,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
61,999,0,1,999,0,1,999,0,1,999,0,1,97,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
62,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
63,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
64,999,0,1,999,0,1,999,0,1,999,0,1,358,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
65,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
