seed,hopper-medium-replay_ST4,hopper-medium-replay_ST2,hopper-medium-replay_ST1,walker2d-medium-replay_ST4,walker2d-medium-replay_ST2,walker2d-medium-replay_ST1
0,0.10748569476236287,0.10135691346978677,0.10409882657506137,0.08216622183455123,0.08217730159934869,0.07739089871575645
1,0.10347032730151545,0.11002682146297724,0.09644513685839243,0.07268531242631517,0.13575153336103826,0.06930259685836414
2,0.11823502928344107,0.1058533461759343,0.10143226962013173,0.0733611909443085,0.08437550271266203,0.07688990726659739
3,0.10675875796724471,0.10847145263972251,0.11745281904398194,0.07310130406435858,0.08253956112149066,0.06657256218898859
4,0.11449325690537827,0.09294053935839842,0.10371427036318193,0.07478106470600797,0.057579777747066165,0.07735490039120048
5,0.11174133310525237,0.10084445189053455,0.10622319672611895,0.06566576611400513,0.15387991276756574,0.08646831603538795
6,0.10418527814289712,0.11584884740599016,0.10038416927871695,0.07356330046347576,0.09899971951423756,0.10726410319632364
7,0.1026414404256971,0.10495696186162638,0.11292135274126842,0.09510190843097403,0.06277337285830845,0.00870297785348474
8,0.10321050931763268,0.10280659175227183,0.09389515183205523,0.07580574589623408,0.024010268253993376,0.05456004438923873
9,0.10825818148530211,0.10452051836487729,0.12683727681509815,0.06944669618805993,0.009423696824478939,0.07497755311870312
10,0.11397664645766717,0.10702495706669106,0.10513000548606671,0.08168918236255926,0.01634319126555169,0.06927909255615453
11,0.10860238746403318,0.10875498937353202,0.09910728351119064,0.06511330557929394,0.12107606584771669,0.02605757363833189
12,0.1117985591350423,0.11527886166568718,0.09953767247724798,0.07744207867329575,0.08256810738454233,0.08199393985083415
13,0.11446708373912648,0.10246213706872487,0.10626610865684603,0.06796200901470399,0.09433081705770298,0.07958342253854744
14,0.10476971423107785,0.0923375518016914,0.1082815145767047,0.06194759176059899,0.06278760829051636,0.04763904360691502
15,0.1205752870237802,0.1000192941930939,0.09755241501698961,0.06804223465237391,0.08923181847286157,0.07914490024450714
16,0.10195481115913545,0.11803166860078707,0.10435134077485507,0.08159336162514495,0.06319793205254502,0.06626220899867541
17,0.11819628983582185,0.10930822542864474,0.11290826906630155,0.06732751648251067,0.08695090063916866,0.00816779643265142
18,0.11468452725149894,0.11279699938062483,0.1126475817995634,0.06972070278864892,0.10387377184751921,0.06118906719001327
19,0.1198209236720177,0.11553991541930052,0.10948216153738188,0.07142275123594287,0.01231198759696063,0.0924446258744124
20,0.10680854137700788,0.10704722539578643,0.11618248041579202,0.06686468375586566,0.10103151637767448,0.06305619004648892
21,0.10941017534891909,0.09357270114827317,0.10848234117259105,0.08177614986110888,0.018874840387149355,0.07028000147047837
22,0.13343317352103307,0.10169735338226824,0.09606178127518626,0.033601444373475,0.0259945045710586,0.07764862250871818
23,0.10090471289375612,0.1050436713935668,0.11538690275803347,0.07097816114176768,0.13450101312528343,0.06482594052789452
24,0.10497014746426907,0.10158907638921048,0.12255709081338512,0.08512167085307715,0.057822252002646644,0.0820314943867713
25,0.1011089172806745,0.10914323252875943,0.09384571488227508,0.01258837025496988,0.08268682096151675,0.07652367061087632
26,0.12604452752299897,0.10242579410673536,0.10632107632775803,0.07600715674729999,0.06099957544045585,0.09948101245136105
27,0.11160066543301284,0.09366438327610123,0.09551727397214838,0.06474221013043527,0.06017789718375432,0.07485870787548216
28,0.10811586690043713,0.10253476027410219,0.1114213965436395,0.06744002899610017,0.09719787971009276,0.08102870488738746
29,0.10407180203947491,0.10366440775927092,0.10470217605093941,0.08472474964704962,0.07961513987155887,0.11287642531610799
30,0.10331270536818607,0.10710389184187,0.1031881335881648,0.06704354223205007,0.09577740231163656,0.061036475301524
31,0.10285514901306334,0.10617549079685734,0.10333669789687445,0.06760306668068436,0.06643577905135631,0.07920527382674508
32,0.10523990093245339,0.0959249290192606,0.10295284587403451,0.06777740835698964,0.08519736807233601,0.07415965420382467
33,0.10829463229398419,0.10769176342757053,0.0742949649825175,0.08546865057040293,0.09016639021196356,0.04095373377668716
34,0.11642393038755594,0.1053440161312778,0.11637540221378671,0.0034027247245304176,0.05173517581720714,0.00337046284393974
35,0.10538055186348251,0.10008343283748974,0.1039652497537209,0.06033257298328262,0.05800091660093931,0.07201045628810873
36,0.10703053769800545,0.10452674640530042,0.11028033992966553,0.06415309168665208,0.08061767447909461,0.05787592149653184
37,0.11548418047701808,0.0915565931007143,0.10035614955356242,0.10647595651811537,0.012066827262540304,0.05469754072570437
38,0.11482888737364719,0.10343903565741379,0.10334917463655983,0.08482775726021392,0.13744678919588668,0.07159924715470846
39,0.09699649492405371,0.10071727535358446,0.09502062683164521,0.06256480164479779,0.06793042109072275,0.07224674583090172
40,0.10761941540634291,0.10231117409697527,0.11164172443567964,0.05585906910722222,0.006348031611425324,0.10946238689453015
41,0.09609941263045803,0.09790942346131654,0.09765493998802709,0.06777004835258392,0.061646753813427754,0.05589663015291309
42,0.11857290172918739,0.11202929120462736,0.10599355533897936,0.06608725582920834,0.12006449198513154,0.08951053250946205
43,0.10225262646811624,0.10748982325326951,0.10437178946306735,0.06730448248552102,0.08256484814362729,0.11197819046068562
44,0.12161251705715702,0.09581480870397982,0.10143675067900346,0.0690516798557217,0.11019192344434856,0.012066363219502189
45,0.10591728991095865,0.11496799966977655,0.1127451102689031,0.06192588803878432,0.09310450982016794,0.1027445476186863
46,0.13235668260183536,0.11257250073682688,0.12012171539270307,0.07153012194615384,0.015293949356729957,0.1345985370909287
47,0.10477199779748582,0.11857123617243338,0.10364468429147392,0.08053723689643923,0.09886198058646746,0.038461137842749814
48,0.10416999731459722,0.10504940834526542,0.11325943934381687,0.06846483481884687,0.09745582355443833,0.05678747472825082
49,0.11236581306568735,0.09966285531862026,0.09146468276506495,0.07669725335932095,0.07418849786260409,0.06658693010391604
50,0.1133415674900581,0.11426174421822267,0.0979423726993578,0.07154567924163356,0.07513177657839659,0.13301704735191847
51,0.11637387109347633,0.11139583085505743,0.09512122359251364,0.09839928048404716,0.06455675431579767,0.06618601595758807
52,0.10681662933553938,0.10628045243092825,0.0976045758706198,0.0676541946580814,0.06220632744430357,0.08371019629041852
53,0.11428456009219463,0.1145068693594096,0.11482475476975616,0.06783010177565053,0.06560504502009724,0.07685366789605964
54,0.09904520981366523,0.1054162649709156,0.10452061582997615,0.08229041698018166,0.1159563026109231,0.08328668689331474
55,0.11057456322875311,0.10700773184196,0.10715992761880815,0.06787600407844976,0.07613788518901925,0.06695826916418277
56,0.09897595371133786,0.10516253908757822,0.11546790132655645,0.06568144130707669,0.028889763857046908,0.08234362151210217
57,0.11548792355369498,0.10371463020732728,0.11246684156437027,0.0699274591370711,0.10686829739999282,0.10486657415988267
58,0.10633672390110288,0.1021639979571935,0.10792521603602485,0.03574051440788694,0.05224108469564533,0.1051061114578897
59,0.10434072486987257,0.1133214202807936,0.12109251969136757,0.0919153381233653,0.027222815840043484,0.05959958221278709
60,0.11097796630679237,0.1090341771400311,0.11803193895510292,0.06972642995699246,0.08004464631016882,0.09448249305175843
61,0.10735321248806617,0.11033080335748241,0.10510715017118674,0.017482389304237515,0.056124258851536664,0.08557818163143578
62,0.10227301191025208,0.11126971436775865,0.09615775512373897,0.06342448561107916,0.08945790518302295,0.1005979987916928
63,0.10048647112543149,0.11155420107500726,0.10931868118258901,0.052299870603892754,0.1330420088369878,0.05838927374755394
64,0.11643075703861674,0.0907397083765015,0.10820821244460055,0.007762471008195942,0.07370489106172504,0.08091812921399318
65,0.10923996321749524,0.0988648007934685,0.11167670412088096,0.08904354614791989,0.02382089759684312,0.06646288962178472
66,0.10934631026420973,0.10908474554627025,0.10746928160170964,0.07218641540116214,0.01727308010809541,0.07559344793889469
67,0.09700477099039341,0.10502868007075196,0.10842671727071493,0.0701756057464654,0.07467094303965134,0.01736476520053812
68,0.11424958099961581,0.10661153411623508,0.10342313860959047,0.057799783931902174,0.0684190451296642,0.12284254424206512
69,0.10789393304316915,0.1179003249529567,0.10770181929522485,0.07636502468884605,0.06534561542107047,0.057977995929834464
70,0.1065454285251663,0.10586847741793377,0.10315803257652383,0.07165532209443681,0.08522326587146481,0.056327667872858804
71,0.10414155949087064,0.11321049119425647,0.11710106977288076,0.0678941149862229,0.09847242242711854,0.025250095377273817
