seed,hopper-medium-replay_ST4,hopper-medium-replay_ST2,hopper-medium-replay_ST1,walker2d-medium-replay_ST4,walker2d-medium-replay_ST2,walker2d-medium-replay_ST1
0,0.006472101901324132,0.09443467358004648,0.08276964270104772,0.05377557863020249,0.05326329948121622,0.0008278385179845911
1,0.00830912972359933,0.09340081383249825,0.0679004016829899,0.05425746212697692,0.06474262833350404,0.021556194050370153
2,0.006523514779080635,0.08956737136193786,0.009116247830277641,0.05136456498152937,0.053641588620567886,0.005828765419116761
3,0.008416565760815528,0.1010918880410202,0.01008507477079866,0.05066812912213337,0.06705051760147983,-0.0017851234088168025
4,0.00655337019752738,0.1000659441807506,0.029202476829748567,0.05253029617170626,0.051720741714291606,-0.001155170643972744
5,0.008777777567899296,0.1109440703438279,0.0990408092442024,0.05192247596948761,0.05004187008934986,0.08206736325492144
6,0.006468793828128309,0.09480951268693798,0.008308417669853541,0.052814258187477606,0.05549968768564855,0.0011485788388790987
7,0.008704252853460017,0.10213739695113627,0.040496834859821265,0.052968457252931166,0.053318718690185896,-0.001844413066794511
8,0.0068550899598430505,0.09737953507964964,0.13999189614062388,0.05335640230279223,0.05253613218621897,0.05051561096185724
9,0.006568416393034984,0.12362907771197709,0.14915891872784598,0.052792826011093655,0.05566859208871421,0.09205070955435211
10,0.007937688029305268,0.09253548102233018,0.12807767612647472,0.052446386057175574,0.05146231589230703,-0.003248727775228808
11,0.008664533066383859,0.09984956883011438,0.0852651090262086,0.052048549820841346,0.05075014889643242,0.00959275500597785
12,0.008736937311537555,0.0991392964676951,0.0509191461685838,0.05300633855804304,0.05254120299775872,0.011081724397982187
13,0.008718506622112578,0.09915661704503592,0.07336857095123887,0.0524162218056166,0.051182639913432575,0.0010660933643947142
14,0.006783526768381364,0.09583522238320417,0.08950256692167968,0.053205509337250156,0.05237803839304336,-0.001222501087224288
15,0.006808992069456469,0.09506853674520735,0.1136678692440033,0.05321837844711496,0.052321974418661855,-0.0008829340014788324
16,0.006564266056270554,0.12350250318316801,0.11946211461365079,0.054142471645242614,0.05238661784019653,0.0033686481999587476
17,0.008531875325900152,0.08913126597345335,0.12693080703251847,0.05140302462454543,0.052371178362447764,0.002301255967312063
