seed,diffuser_epoch0,diffuser_epoch200k,diffuser_epoch400k,diffuser_epoch600k,flowmatching_epoch0,flowmatching_epoch200k,flowmatching_epoch400k,flowmatching_epoch600k
0,0.8348832051271562,0.7691717753084923,0.27401924820204565,0.8164336479102909,0.8737342390536986,0.5813155374742656,0.8800242311577937,0.4375581333578956
1,0.8297985529267369,0.8870373546612044,0.7132105564367183,0.7108245081422414,0.3172766588670462,0.21217978049410435,0.6228163108354122,0.8624505349412108
2,0.7301701798188355,0.7635258576165245,0.8210762214290458,0.6799527213364406,0.33921830272793385,0.8041152332520777,0.2836824428327821,0.8906318701439191
3,0.28996567582318794,0.4453304370445928,0.7328367215326457,0.2048952667654828,0.6064482876161955,0.6448015109551015,0.46398051832138104,0.9068398638706751
4,0.41043258066271066,0.73603782720124,0.8110513550032107,0.8437637053775765,0.4421286074271817,0.19420162162887283,0.08352325194684473,0.8230814372437922
5,0.404616038776157,0.8101163480737441,0.34609426245705793,0.8179848656852724,0.7708608879335586,0.8565821280337672,0.863441142175628,0.8501491380030176
6,0.8593925931668799,0.8237306909963299,0.831748533542339,0.6762332277631097,0.9105068140190427,0.17398536189312155,0.8996810542255155,0.48048653325771346
7,0.4680214598400572,0.6128939107584048,0.3292063790457457,0.7998845915098632,0.8615977908639062,0.36711269459349527,0.9190963127209409,0.3923192463059823
8,0.28449446555369134,0.3556903087323895,0.37462807602964043,0.7874717127840966,0.6752858727524766,0.8867812776365087,0.44886150956682397,0.3924594443059183
9,0.7206071201053899,0.2527606959484358,0.8179653910398448,0.6310505757915391,0.16685258999527947,0.6534805926923123,0.8952246917554156,0.6595171688778838
10,0.8472502461032584,0.7271215708708247,0.4052261727840243,0.22627045856235192,0.822656886943377,0.3016003614403855,0.8832466683154768,0.8465958458116982
11,0.3572187462483269,0.6119992664746924,0.8313560795439936,0.7772092061218949,0.778459729854122,0.1038270172218996,0.896824202205962,0.24724443237090654
12,0.6800299320430517,0.17751188972956708,0.900902007751269,0.762181499898378,0.8905054767196602,0.9081724543752692,0.6542907581488062,0.07841178391792919
13,0.45242528485352956,0.3432022589985063,0.8488948714874748,0.889974778862461,0.3117737481433002,0.8867633302945824,0.8508097690986958,0.8946950203897
14,0.8243641907300405,0.5012559724298955,0.24805100177584458,0.2124241492377703,0.16135123166103224,0.5480843798518918,0.8525552221968097,0.8959004284859012
15,0.8525871148056329,0.322696583073611,0.29255082265230337,0.7589038545630405,0.1395130938516801,0.9063392874307628,0.0956137364525122,0.8466473464754996
16,0.8451318822594678,0.4713558423690749,0.8340157148981535,0.6864531995121315,0.5768994922462951,0.8746543990243993,0.8638514316913826,0.5049517872087991
17,0.24323896850356114,0.8116753470059083,0.7360341748132,0.17561979601417435,0.597862352626525,0.5382150240617122,0.8493592929337532,0.9040305201090135
18,0.4089683033420281,0.7876393264942473,0.8510608169117088,0.8341427064442247,0.8551803418283105,0.8836520586069477,0.532298717193388,0.7529909053767772
19,0.46759586712630663,0.5610834914511129,0.8106184942487361,0.420238837985949,0.05023262478548618,0.2550298841637297,0.8849498461143498,0.8837725868119115
20,0.712145591806706,0.8155364661648069,0.812337689093503,0.7833927058697425,0.8671562213571158,0.7194415303512071,0.26723143270129046,0.8484370082707453
21,0.32206635199568023,0.8455842484605778,0.813187047230835,0.29896798681142905,0.8548825343537398,0.889039014032505,0.890071051046806,0.9163054938786931
22,0.7205868608836175,0.3217398976785894,0.35228909377404466,0.7857651899473799,0.6476330726358012,0.6305843258063423,0.2932061988597589,0.9020246529631539
23,0.779501558686909,0.8814919121457534,0.36427767020560536,0.8581873896061077,0.8195662470544611,0.7894482842063623,0.27585357941066907,0.5058412506924554
24,0.830598527406056,0.8452818863303092,0.833504725340958,0.8467176746928505,0.5795200433556397,0.8995296023962336,0.27784553414316854,0.4649051541522577
25,0.7509199487304502,0.33155714226842714,0.6141506995856649,0.6238296763035149,0.7534122580604081,0.8531607567442239,0.7649496640199182,0.7745290644705088
26,0.8404779002738881,0.8752898392906171,0.5379488784613206,0.7629342400283823,0.8951795202661257,0.8559403368599886,0.8658359543820393,-0.0010266246424945524
27,0.6417076250503946,0.2634767080585984,0.37897301786618304,0.4640941094898506,0.4572715386646714,0.09700522034729223,0.8973033960190161,0.3274582995221316
28,0.31052234580478116,0.8782207331234949,0.875215581252424,0.8086254628658515,0.6498993495349374,0.8691675662988403,0.7985600413293714,0.8889636212998525
29,0.8338775669299396,0.5353649509592492,0.5241341334722583,0.5608118214260382,0.4744438660936964,0.7011290831234906,0.8481789309457328,0.8525038014049361
30,0.8537003436949789,0.8357918655708797,0.6482674706115078,0.8246075789723281,0.7573955058747779,0.11159946927087754,0.8404335356428587,0.4365453541122824
31,0.8268712772596315,0.3263779463188189,0.4764989052248244,0.8244393929238917,0.8562940918482561,0.9029102518249325,0.7978840176492014,0.874377730077518
32,0.8601494180772729,0.5073593562221673,0.8754906659433768,0.8487699933473706,0.3140294201354298,0.39039921839918784,0.8475763706650358,0.28565234909269405
33,0.8356825722689941,0.28459217111394886,0.8202088972936977,0.7797288955443005,0.44168760262450063,0.8308686337502206,0.7169881683064828,0.28223461238241565
34,0.8786320237876533,0.823200601610635,0.7631833444563751,0.8472958973217715,0.2815182077379943,0.8466596825097251,0.865321588057834,0.7837346753929306
35,0.8234338670014617,0.29100655405572545,0.779897535410216,0.05476275506236285,0.7462619146196636,0.605943367958274,0.32860897667643246,0.8566492268566386
36,0.7713517809475404,0.29736957966630373,0.8480673752788029,0.5798087535458559,0.3554432291321975,0.27969046906725553,0.5793089392688295,0.43074176581993917
37,0.5332117878973208,0.7314838544011282,0.7797968923443866,0.5576341863261428,0.86135453664733,0.5522826579088082,0.8900301584142795,0.17733286703244897
38,0.8588528844537242,0.1777512108979952,0.5177085558537632,0.5690388690668856,0.5764188495863559,0.4881860627263095,0.8099799630593134,0.7974281933074348
39,0.7741837392584943,0.7609922398079719,0.8269774912538755,0.6959676821796279,0.3241834746382382,0.19077077901023112,0.7717392777322288,0.5223141404160203
40,0.5128546303297773,0.4900712203780277,0.8204313885883148,0.43899656462489867,0.5995183162423684,0.8813803749871506,0.4903636187748377,0.9041201083047672
41,0.7254953316286408,0.30851489941955385,0.14934006677960876,0.7683021590103926,0.6147599236786689,0.333183918961249,0.8148935942615576,0.9223669598226871
42,0.8514151985730937,0.38540257334552047,0.8270773928982503,0.8163753822660765,0.2884954706587664,0.53239769183526,0.39882909554854507,0.24633343694660534
43,0.5721263593061418,0.6805511421671324,0.300307371489604,0.19245263521005507,0.06538837994099335,0.07257536982441702,0.07095566840930927,0.06705376164507938
44,0.7752912247767033,0.831860701578369,0.3858915113899478,0.32338861056361784,0.056326743925625485,0.08745452682962275,0.03147513539282382,0.11928295721604287
45,0.30374586311200075,0.3412392060072481,0.27515720917685776,0.413748229334666,-0.0005177435623512076,0.17514747174306192,0.0044165775011330835,0.03827286527252926
46,0.11103485423756244,0.7757223829622107,0.5787836100143882,0.8113866411988729,0.09123072944174478,0.00037595245913446925,-0.0014321706362939491,0.07350192682373188
47,0.8238445620356664,0.7079747324303707,0.7751033902730777,0.7844660857394109,0.09903153760626758,0.10207519893361254,0.07661792829579031,0.052771306806608985
48,0.49914566134411775,0.7828177522686708,0.42469947388061347,0.6043366944737045,0.06728975734117097,0.04878897194381208,0.05330075710788306,0.06459916369251537
49,0.7627909769398599,0.7794703068040764,0.8617030187124742,0.8371754580426585,0.09276281512807966,0.04049766295937694,0.1068135225343588,0.03498048001141678
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
